Sample,StartDepth,End Depth,Depth midpoint,Particle Weight,C/N Weight,Event notes,Epoch,Grain size,,,,C/N ratio
W1M17/32,295,300,297.5,0.371,1.03,,Modern,17.91979496,2.45179937,-0.037918701,1.046148135,8.8086
W1M17/33,300,302,301,0.363,1.034,Start,Modern,16.36513379,2.466897129,-0.042948576,1.011477766,9.193
W1M17/34,302,304,303,0.389,1.014,,Modern,16.4739862,2.484933109,-0.035823886,1.016483167,10.2147
W1M17/35,304,306,305,0.34,1.069,,Modern,16.54156149,2.48023261,-0.045679249,1.012748764,9.7716
W1M17/36,306,310,308,0.368,1.069,,Modern,16.44905975,2.449961128,-0.037999454,1.013110361,10.1396
W1M17/37,310,315,312.5,0.324,1.037,End,Modern,17.07225744,2.239159303,-0.042443738,1.011120865,10.2365
W1M17/38,315,320,317.5,0.372,1.066,,Modern,18.08139555,2.240389932,-0.093047047,1.011751956,10.5415
W1M17/39,320,325,322.5,0.33,1.045,,Modern,17.92474757,2.940904317,-0.013644515,1.012073602,10.3469
W1M17/40,325,330,327.5,0.315,1.065,,Modern,15.43673289,2.660539464,-0.068318475,0.951537574,8.3814
W1M17/41,330,335,332.5,0.34,1.011,,Modern,15.85152976,2.675298867,-0.064198706,0.959398845,8.6342
W1M17/42,335,343,339,0.318,1.055,,Modern,16.58375957,2.909870177,-0.019338865,0.953871117,8.7824
W1M17/43,343,350,346.5,0.362,1.091,,Modern,16.61292541,2.746103781,-0.054802122,0.957503762,8.4174
W1M17/44,350,355,352.5,0.372,1.062,,Modern,15.89748289,2.57331926,-0.063853679,0.98488443,8.7095
W1M17/45,360,365,362.5,0.31,1.03,,Modern,15.71158007,2.714929779,-0.043342131,0.956005118,8.6585
W1M17/46,365,368,366.5,0.382,1.059,,Modern,16.50189267,2.645246094,-0.052252051,0.978390464,6.6138
W1M17/47,368,371,369.5,0.341,1.093,,Modern,16.75515287,2.526338045,-0.068034457,0.978383361,7.7597
W1M17/48,371,380,375.5,0.368,1.063,,Modern,17.11544256,2.676769781,-0.056967377,0.971928156,8.2583
W1M17/49,380,383,381.5,0.304,1.027,,Modern,17.39961145,2.69068749,-0.05675375,0.980156796,8.8497
W1M17/50,383,386,384.5,0.331,1,,Modern,17.33983245,2.633585753,-0.053139452,0.995447187,8.6887
W1M17/51,386,390,388,0.34,1.018,,Modern,16.94025879,2.463532671,-0.073112606,0.995102365,
W1M17/52,390,393,391.5,0.387,1.05,,Pre-European,16.39570088,2.402826856,-0.076936788,0.988571692,
W1M17/53,395,400,397.5,0.307,1.058,,Pre-European,16.45488699,2.676637559,-0.065131034,0.966702735,
W1M17/54,402,406,404,0.387,1.021,End?,Pre-European,16.74375088,2.638016787,-0.063703607,0.985092138,
W1M17/55,412,416,414,0.372,1.093,,Pre-European,17.69827749,2.543833181,-0.067597441,1.001958903,
W1M17/56,416,420,418,0.334,1.012,,Pre-European,17.99128913,2.490427696,-0.082364254,0.999057616,
W1M17/57,420,423,421.5,0.302,1.095,Start,Pre-European,18.25772802,2.434295421,-0.082880678,1.005730102,
W1M17/58,423,426,424.5,0.357,1.079,,Pre-European,16.62768785,2.232904424,-0.06545997,1.013912576,
W1M17/59,426,430,428,0.3,1.016,End,Pre-European,17.45387776,2.295299765,-0.075538436,1.021229129,
W1M17/60,430,435,432.5,0.306,1.053,,Pre-European,18.32546084,2.384804218,-0.07085873,1.023521309,
W1M17/61,435,440,437.5,0.377,1.042,,Pre-European,18.34992117,2.244324626,-0.083179676,1.019407531,
W1M17/62,440,445,442.5,0.394,1.047,,Pre-European,18.1871207,2.390452267,-0.082429005,1.014073555,
W1M17/63,445,450,447.5,0.313,1.065,,Pre-European,17.64489546,2.406803242,-0.08620223,1.007068797,
W1M17/64,450,455,452.5,0.377,1.004,,Pre-European,17.46118608,2.420435243,-0.074674843,1.010835639,
W1M17/65,455,460,457.5,0.385,1.043,,Pre-European,17.05352399,2.354818134,-0.079682977,1.012245681,
W1M17/66,460,462,461,0.306,1.022,Start,Pre-European,17.7074592,2.321323175,-0.053139843,1.035430804,
W1M17/67,462,465,463.5,0.313,1.009,,Pre-European,16.82540857,2.206731025,-0.064664215,1.020809378,
W1M17/68,465,470,467.5,0.391,1.051,,Pre-European,17.05743928,2.336766908,-0.053925352,1.031816062,
W1M17/69,470,475,472.5,0.317,1.033,,Pre-European,16.45060814,2.492446256,-0.086039229,1.00234529,
W1M17/70,475,477,476,0.368,1.001,,Pre-European,16.23408242,2.365045716,-0.116377839,0.997889542,
W1M17/71,477,480,478.5,0.377,1.094,,Pre-European,17.10190375,2.613262881,-0.076154553,0.989878409,
W1M17/72,480,483,481.5,0.313,1.087,,Pre-European,,,,,
W1M17/73,483,485,484,0.304,1.089,,Pre-European,17.77545597,2.392853289,-0.083165169,1.01006055,
W1M17/74,485,489,487,0.39,1.074,,Pre-European,17.01853544,2.20187277,-0.07994558,1.015747806,
W1M17/75,489,491,490,0.395,1.01,,Pre-European,17.65393415,2.360028701,-0.074421296,1.014195913,
W1M17/76,491,493,492,0.31,1.061,,Pre-European,15.99538793,2.113827335,-0.084301498,1.00962003,
W1M17/77,493,495,494,0.357,1.015,,Pre-European,15.62838554,2.226784711,-0.068513195,1.010694082,
W1M17/78,495,500,497.5,0.363,1.078,End,Pre-European,15.57625587,2.232371329,-0.076716075,1.008506897,
W1M17/79,500,505,502.5,0.329,1.062,,Pre-European,15.78730495,2.511045214,-0.083406828,0.96801332,
W1M17/80,506,510,508,0.346,1.072,,Pre-European,16.17015426,2.483810021,-0.097686115,0.989456631,
W1M17/81,510,515,512.5,0.339,1.071,,Pre-European,17.19234628,2.374280787,-0.065301652,1.010945931,
W1M17/82,515,520,517.5,0.37,1.061,,Pre-European,17.73817361,2.179720042,-0.064598424,1.013248273,
W1M17/83,520,523,521.5,0.31,1.044,Start,Pre-European,18.00583464,2.347655093,-0.100167371,1.001373094,
W1M17/84,523,526,524.5,0.312,1.065,,Pre-European,17.73730895,2.243271239,-0.085947969,1.007073067,
W1M17/85,526,530,528,0.306,1.065,,Pre-European,15.98979153,2.589627345,-0.07280082,0.949312996,
W1M17/86,530,532,531,0.347,1.035,,Pre-European,14.96040817,2.598995458,-0.028180079,0.94961566,
W1M17/87,532,538,535,0.331,1.083,,Pre-European,14.21881196,2.624555248,-0.039984432,0.924440902,
W1M17/88,538,540,539,0.321,1.052,,Pre-European,16.01415832,2.534779382,-0.072126065,0.981381695,
W1M17/89,540,542,541,0.349,1.065,,Pre-European,16.4320346,2.409228379,-0.077743742,0.97396927,
W1M17/90,542,544,543,0.33,1.005,,Pre-European,16.86877212,2.540470442,-0.07546263,0.982626963,
W1M17/91,544,546,545,0.392,1.092,,Pre-European,17.23051822,2.37084947,-0.100490858,0.999321003,
W1M17/92,546,548,547,0.365,1.008,,Pre-European,15.83090964,2.418131267,-0.095426297,0.978746692,
W1M17/93,548,550,549,0.325,1.078,End,Pre-European,15.98177609,2.30910177,-0.099275099,0.985108035,
W1M17/94,550,555,552.5,0.338,1.011,,Pre-European,16.76663258,2.447174253,-0.098218769,0.983862051,
W1M17/95,555,560,557.5,0.385,1.056,,Pre-European,18.35944075,2.406578315,-0.103089361,1.008813302,
W1M17/96,560,562,561,0.352,1.036,,Pre-European,18.15904435,2.335900059,-0.111397785,1.00555309,
W1M17/97,562,564,563,0.316,1.046,,Pre-European,16.91196178,2.303118673,-0.092824547,0.989372968,
W1M17/98,564,566,565,0.301,1.072,,Pre-European,16.16209827,2.292879426,-0.096009371,0.989125152,
W1M17/99,566,568,567,0.342,1.022,,Pre-European,17.11830068,2.438581742,-0.081267139,0.994666121,
W1M17/100,568,570,569,0.325,1.028,,Pre-European,16.77858609,2.487012047,-0.074722056,0.996448481,
W1M17/101,570,575,572.5,0.355,1.07,,Pre-European,16.53747043,2.507360143,-0.070500039,1.004418716,
W1M17/102,575,580,577.5,0.375,1.048,,Pre-European,16.7912605,2.32045219,-0.079177772,1.00780635,
W1M17/103,580,585,582.5,0.327,1.01,,Pre-European,16.94146507,2.424285547,-0.060564095,1.01291294,
W1M17/104,585,590,587.5,0.322,1.058,,Pre-European,17.28301282,2.309425283,-0.079731376,0.998915028,
W1M17/105,600,610,605,0.392,1.051,,Pre-European,17.28176018,2.552947679,-0.079234888,0.986827776,
W1M17/106,610,620,615,0.355,1.017,,Pre-European,17.86497541,2.360013282,-0.085508496,1.013057616,
W1M17/107,620,630,625,0.311,1.014,,Pre-European,9.162477897,1.728993836,-0.223679817,1.077818859,
W1M17/108,630,640,635,0.327,1.014,,Pre-European,16.68275529,2.664846042,-0.050072666,0.978915075,
W1M17/109,640,650,645,0.36,1.031,,Pre-European,17.68869246,2.501468781,-0.065979773,1.008236426,
W1M17/110,650,660,655,0.313,1.091,,Pre-European,17.88883414,2.44101236,-0.05944669,1.012640206,
W1M17/111,660,670,665,0.384,1.042,,Pre-European,16.97375154,2.509362079,-0.027468378,0.984602707,
W1M17/112,670,680,675,0.328,1.033,,Pre-European,22.80782074,2.20092021,-0.090315339,1.006744564,
W1M17/113,680,690,685,0.328,1.053,,Pre-European,25.33565831,2.306389948,-0.122565208,1.015295622,
W1M17/114,690,700,695,0.316,1.052,,Pre-European,24.41795846,2.282994767,-0.087042518,0.997216901,
W1M17/115,700,710,705,0.338,1.081,,Pre-European,32.39754196,2.338053939,-0.140596127,1.000459891,
W1M17/116,710,720,715,0.33,1.049,,Pre-European,33.74807528,2.375797237,-0.156394997,1.002424598,
W1M17/117,720,730,725,0.318,1.021,,Pre-European,30.23764069,2.438611096,-0.129568935,0.976373081,
W1M17/118,730,740,735,0.304,1.005,,Pre-European,35.43361636,2.376995082,-0.180222469,1.010530032,
W1M17/119,740,750,745,0.358,1.091,,Pre-European,30.70860503,2.334455766,-0.150615615,1.00649632,
W1M17/120,750,760,755,0.333,1.019,,Pre-European,29.67791154,2.270884443,-0.143631234,1.027239444,
W1M17/121,760,770,765,0.327,1.081,,Pre-European,31.54221323,2.32890303,-0.159818711,1.024306862,
W1M17/122,770,780,775,0.398,1,,Pre-European,28.72740696,2.276450566,-0.129347353,1.015504075,
W1M17/123,780,790,785,0.355,1.059,,Pre-European,30.77519526,2.377521377,-0.161871658,1.015098625,
W1M17/124,790,800,795,0.335,1.034,,Pre-European,30.64763869,2.248517325,-0.151806648,1.033778071,
W1M17/125,800,810,805,0.307,1.071,,Pre-European,30.31327397,2.24728581,-0.145138835,1.023726306,
W1M17/126,810,820,815,0.385,1.098,,Pre-European,23.2554715,2.284820236,-0.084320832,0.999318046,
W1M17/127,820,830,825,0.323,1.005,,Pre-European,29.00415394,2.290454726,-0.132916454,1.020143224,
W1M17/128,830,840,835,0.328,1.046,,Pre-European,25.93118969,2.187460905,-0.108337996,1.014640012,
W1M17/129,840,860,850,0.318,1.088,,Pre-European,24.38282232,2.240342374,-0.109698798,1.008495593,
W1M17/130,850,853,851.5,0.347,1.015,Start,Pre-European,21.82514184,2.362146994,-0.100824742,1.007176054,
W1M17/131,853,860,856.5,0.316,1.019,,Pre-European,20.42376598,2.120424881,-0.082747552,1.006887865,
W1M17/132,860,864,862,0.397,1.022,,Pre-European,22.42570002,2.129208277,-0.094053154,1.012216062,
W1M17/133,864,868,866,0.3,1.032,,Pre-European,23.71477453,2.175691605,-0.100953299,1.007642263,
W1M17/134,868,871,869.5,0.389,1.025,,Pre-European,25.18466924,2.243684227,-0.123289951,1.021394248,
W1M17/135,871,874,872.5,0.388,1.027,,Pre-European,22.93876408,2.270260762,-0.098505914,1.012763926,
W1M17/136,874,882,878,0.385,1.065,,Pre-European,21.144736,2.213876268,-0.099378588,1.016913001,
W1M17/137,882,886,884,0.357,1.063,,Pre-European,21.85485195,2.301202671,-0.118045102,1.024746413,
W1M17/138,886,890,888,0.369,1.067,,Pre-European,21.87099442,2.44386017,-0.123254226,1.012345813,
W1M17/139,890,900,895,0.393,1.012,,Pre-European,22.4155121,2.328958266,-0.110974872,1.014755328,
W1M17/140,900,910,905,0.363,1.057,,Pre-European,25.83975787,2.311229315,-0.121827926,1.01929205,
W1M17/141,910,920,915,0.369,1.014,,Pre-European,23.79985531,2.371473812,-0.124847623,1.021534736,
W1M17/142,920,930,925,0.397,1.01,,Pre-European,24.58335125,2.245531727,-0.103977284,1.012148167,
W1M17/143,930,937,933.5,0.377,1.005,,Pre-European,27.72216942,2.206568123,-0.127523727,1.029123807,
W1M17/144,937,940,938.5,0.333,1.036,,Pre-European,26.2758183,2.187280666,-0.120896327,1.028850496,
W1M17/145,940,950,945,0.385,1.033,,Pre-European,22.44034179,2.408537594,-0.131708552,1.017255076,
W1M17/146,950,954,952,0.324,1.089,,Pre-European,20.24383565,2.214834114,-0.074172478,1.003100451,
W1M17/147,954,960,957,0.338,1.081,,Pre-European,26.16300268,2.237825711,-0.109609081,1.016359822,
W1M17/148,960,965,962.5,0.372,1.079,,Pre-European,26.5459318,2.259146535,-0.115928064,1.019541444,
W1M17/149,965,967,966,0.339,1.012,,Pre-European,23.23405191,2.35284249,-0.124979784,1.01308587,
W1M17/150,967,973,970,0.368,1.077,,Pre-European,22.51977048,2.293919249,-0.114769319,1.016854538,
W1M17/151,973,978,975.5,0.377,1.024,End,Pre-European,21.67445972,2.434326749,-0.126283237,1.007973201,
W1M17/152,978,990,984,0.384,1.091,,Pre-European,22.65862355,2.340077702,-0.123984915,1.009910299,
W1M17/153,990,1000,995,0.338,1.077,,Pre-Maori,24.40577802,2.363738985,-0.12767546,1.013751786,
W1M17/154,1000,1016,1008,0.316,1.004,,Pre-Maori,25.65587973,2.227291647,-0.114624594,1.012853649,
W1M17/155,1016,1020,1018,0.328,1.054,,Pre-Maori,30.94441171,2.276864373,-0.146563835,1.021628039,
W1M17/156,1020,1030,1025,0.36,1.061,,Pre-Maori,22.46337833,2.339544932,-0.10040303,0.998037793,
W1M17/157,1030,1040,1035,0.384,1.087,,Pre-Maori,22.88761088,2.182902137,-0.082248702,1.006169832,
W1M17/158,1043,1048,1045.5,0.358,1.039,,Pre-Maori,28.37399843,2.330521967,-0.115755583,0.997429801,
W1M17/159,1053,1058,1055.5,0.315,1.097,,Pre-Maori,31.81706535,2.274909524,-0.150344144,1.017319508,
W1M17/160,1063,1068,1065.5,0.375,1.007,,Pre-Maori,26.09208209,2.1781975,-0.126717432,1.025936095,
W1M17/161,1073,1078,1075.5,0.31,1.059,,Pre-Maori,22.65002683,2.267810817,-0.122146643,1.016875452,
W1M17/162,1083,1088,1085.5,0.353,1.022,,Pre-Maori,24.96776408,2.291812453,-0.115505387,1.008452622,
W1M17/163,1093,1098,1095.5,0.336,1.032,,Pre-Maori,23.22128419,2.225724414,-0.106089017,1.006582423,
W1M17/164,1103,1108,1105.5,0.368,1.074,,Pre-Maori,23.4281002,2.249225521,-0.116532253,1.01414465,
W1M17/165,1113,1118,1115.5,0.377,1.055,,Pre-Maori,26.16140432,2.210466833,-0.124531811,1.02117235,
W1M17/166,1123,1128,1125.5,0.345,1.043,,Pre-Maori,20.91259233,2.292592699,-0.083802202,0.979486135,
W1M17/167,1133,1138,1135.5,0.348,1.054,,Pre-Maori,26.5312453,2.26886119,-0.111199555,0.997322073,
W1M17/168,1143,1148,1145.5,0.393,1.066,,Pre-Maori,30.09682944,2.32613091,-0.13579763,0.993388171,
W1M17/169,1153,1158,1155.5,0.367,1.067,,Pre-Maori,31.38452417,2.365627422,-0.136037536,0.987420305,
W1M17/170,1163,1168,1165.5,0.305,1.063,,Pre-Maori,34.21703657,2.399891102,-0.152568352,0.983631406,
W1M17/171,1173,1178,1175.5,0.392,1.003,,Pre-Maori,31.42886339,2.376038943,-0.135231078,0.985196686,
W1M17/172,1183,1188,1185.5,0.392,1.002,,Pre-Maori,36.0423696,2.460131392,-0.16786291,0.974615901,
W1M17/173,1193,1198,1195.5,0.324,1.025,,Pre-Maori,36.41680339,2.466763121,-0.177166325,0.973992591,
W1M17/174,1203,1208,1205.5,0.391,1.066,,Pre-Maori,36.65061904,2.453823081,-0.177337116,0.979475011,
W1M17/175,1213,1215,1214,0.331,1.088,,Pre-Maori,37.096352,2.465156377,-0.180155558,0.978281665,
W1M17/176,1215,1224,1219.5,0.373,1.093,,Pre-Maori,37.20111253,2.476783528,-0.184448732,0.974811029,
