Sample,StartDepth,End Depth,Depth midpoint,Particle Weight,C/N Weight,Event notes,Epoch,Grain size,,,,C/N ratio
,,,,,,,,Mean,Sorting,Skewness,Kurtosis,
W1M17/1,20,22,21,0.336,1.059,,Modern,18.73351539,2.239007146,-0.086735008,1.002241255,7.7099
W1M17/2,25,35,30,0.314,1.002,,Modern,18.89936121,2.218117343,-0.098219005,1.005363631,9.0305
W1M17/3,40,46,43,0.349,1.024,,Modern,16.70777193,2.370376877,-0.091726698,0.990457514,8.9145
W1M17/4,48,50,49,0.359,1.054,,Modern,16.61410369,2.328425712,-0.090137784,0.994434576,10.451
W1M17/5,56,61,58.5,0.364,1.02,,Modern,17.60029775,2.437808373,-0.084709258,0.989108458,8.9504
W1M17/6,68,71,69.5,0.396,1.051,,Modern,19.02380445,2.442645983,-0.068494468,0.999310268,9.2109
W1M17/7,76,82,79,0.387,1.01,,Modern,16.63181213,2.275212976,-0.089943128,1.009220441,9.6591
W1M17/8,89,92,90.5,0.386,1.048,,Modern,17.31875744,2.431055717,-0.059503355,1.005203616,9.1497
W1M17/9,99,101,100,0.325,1.056,,Modern,17.97712239,2.372849873,-0.064478679,1.000634392,9.6886
W1M17/10,107,110,108.5,0.362,1.07,,Modern,18.83274553,2.282259521,-0.07671482,0.996850165,10.9144
W1M17/11,118,120,119,0.358,1.042,,Modern,17.57514906,2.306644319,-0.071582412,1.009454678,8.9462
W1M17/12,126,131,128.5,0.39,1.015,,Modern,16.57743217,2.199008628,-0.093163412,1.000454081,9.389
W1M17/13,139,141,140,0.387,1.083,,Modern,17.2857678,2.445090749,-0.079020534,0.999432326,8.5961
W1M17/14,146,151,148.5,0.327,1.046,,Modern,17.84635501,2.580313209,-0.032600317,1.010478887,8.3588
W1M17/15,160,162,161,0.329,1.009,,Modern,17.95195348,2.423652951,-0.054818499,1.011700558,9.2222
W1M17/16,168,171,169.5,0.369,1.011,,Modern,17.9990764,2.393706924,-0.051770696,1.019162327,9.3114
W1M17/17,177,181,179,0.399,1.084,,Modern,16.90797869,2.227460916,-0.063481201,1.01382822,11.0517
W1M17/18,188,190,189,0.36,1.052,,Modern,17.51007367,2.264361005,-0.075268186,1.014772363,10.6897
W1M17/19,198,201,199.5,0.36,1.003,,Modern,18.18108193,2.141276409,-0.078645854,1.011888907,10.0845
W1M17/20,208,210,209,0.367,1.08,,Modern,17.92730977,2.268428958,-0.08996875,1.002683826,13.5007
W1M17/21,217,220,218.5,0.349,1.046,,Modern,26.01890881,2.340828845,-0.111345203,0.993861401,10.1703
W1M17/22,227,230,228.5,0.332,1.04,,Modern,26.95535962,2.266546913,-0.100193597,0.993692901,13.7045
W1M17/23,230,240,235,0.349,1.033,,Modern,28.30853499,2.270450813,-0.115196509,0.997328872,9.1253
W1M17/24,240,248,244,0.307,1.045,,Modern,23.72656766,2.329456237,-0.070245734,1.002833893,10.6632
W1M17/25,250,255,252.5,0.307,1.059,,Modern,18.56700667,2.236060862,-0.079594698,1.01436895,8.6213
W1M17/26,260,262,261,0.301,1.015,Start?,Modern,17.76192823,2.521820483,-0.078695938,0.988791691,8.6238
W1M17/27,262,264,263,0.326,1.026,,Modern,17.3865488,2.596288406,-0.075749728,0.984846964,8.7345
W1M17/28,270,273,271.5,0.338,1.007,,Modern,17.11359132,2.285185653,-0.061710682,1.006296009,9.6498
W1M17/29,275,280,277.5,0.398,1.081,End?,Modern,19.20936044,2.327826815,-0.079695229,1.018288504,9.2572
W1M17/30,280,290,285,0.337,1.065,,Modern,17.83545381,2.406639212,-0.066107825,1.022043616,8.7111
W1M17/31,290,295,292.5,0.367,1.022,,Modern,16.87375982,2.506554149,-0.04825861,1.011163487,8.5369
