Sample,StartDepth,End Depth,Depth midpoint,Particle Weight,C/N Weight,Event notes,Epoch,Grain size,,,,C/N ratio
,,,,,,,,Mean,Sorting,Skewness,Kurtosis,
W1M13/59,449,451,450,0.321,1.014, , ,20.5316253,2.59525423,-0.1261197,0.96784169,10.6
W1M13/60,453,456,454.5,0.377,1.013, , ,20.0482477,2.27195828,-0.0652663,1.00771441,11.3
W1M13/61,459,461,460,0.366,1.063, , ,20.774027,2.67496877,-0.1411565,0.93827909,9
W1M13/62,463,465,464,0.333,1.016, , ,14.2990465,2.78805888,0.00033327,0.97135887,9.7
W1M13/63,467,469,468,0.338,1.017, , ,14.2962998,2.50619534,-0.0453958,0.92602831, 
W1M13/64,470,471,470.5,0.336,1.089, , ,14.4528052,2.69874205,-0.0418718,0.91838258,
W1M13/65,473,474,473.5,0.328,1.054, , ,15.1756645,2.51518683,-0.0604538,0.92317025,
W1M13/66,475,477,476,0.362,1.021, , ,15.1071048,2.68344639,-0.0415195,0.91653632,
W1M13/67,478,480,479,0.377,1.018, , ,18.8936684,2.63373945,-0.1213511,0.95204349,
W1M13/68,480,482,481,0.31,1.081, , ,19.1980448,2.64713898,-0.1191414,0.95380442,
W1M13/69,485,487,486,0.389,1.059, , ,18.5620117,2.66090112,-0.1200192,0.94034933,
W1M13/70,489,492,490.5,0.34,1.081, , ,19.0562859,2.60499924,-0.1409316,0.95368695,
W1M13/71,494,496,495,0.342,1.038, , ,19.6450035,2.61240186,-0.1452965,0.95852415, 
W1M13/72,497,499,498,0.315,1.027, , ,21.1024277,2.54586372,-0.1514528,0.97904123, 
W1M13/73,500,503,501.5,0.354,1.041, , ,22.40648,2.54551991,-0.1581695,0.99084519, 
W1M13/74,504,506,505,0.303,1.061, , ,23.1009976,2.50954182,-0.1677516,1.00067673, 
W1M13/75,507,509,508,0.33,1.042, , ,26.8977416,2.4123593,-0.169967,1.03371068, 
W1M13/76,510,512,511,0.336,1.006, , ,25.3265694,2.46539275,-0.1634868,1.02102465, 
W1M13/77,513,515,514,0.311,1.083, , ,24.6392519,2.49284452,-0.1474202,1.00691454, 
W1M13/78,516,518,517,0.319,1.054, , ,22.4203634,2.58642511,-0.1416033,0.97917843, 
W1M13/79,520,522,521,0.315,1.022, , ,22.120545,2.55748494,-0.1300827,0.98371416, 
W1M13/80,523,525,524,0.368,1.045, , ,21.6923621,2.58871993,-0.1307914,0.98053033, 
W1M13/81,526,528,527,0.335,1.027, , ,21.8446403,2.58533369,-0.1301208,0.98028408, 
W1M13/82,530,533,531.5,0.319,1.019, , ,21.4918979,2.56548463,-0.1363978,0.97702011, 
W1M13/83,534,536,535,0.329,1.01, , ,22.9485844,2.41976121,-0.1457955,1.00741317, 
W1M13/84,537,539,538,0.342,1.019, , ,26.6513182,2.41874823,-0.1573411,1.02301266, 
W1M13/85,540,543,541.5,0.373,1.008, , ,29.3707587,2.28415398,-0.1373456,1.02717591, 
W1M13/86,547,548,547.5,0.366,1.081, , ,20.9373345,2.65825585,-0.1404803,0.9706709, 
W1M13/87,550,552,551,0.309,1.063, , ,15.5184894,2.66298704,-0.0579225,0.94635325, 
W1M13/88,552,554,553,0.306,1.019, , ,15.2581995,2.66367174,-0.0580328,0.94120081, 
W1M13/89,555,557,556,0.341,1.072, , ,14.486439,2.63912912,-0.0335172,0.95739159, 
